state,howner_q1,howner_q1_moe,howner_q2,howner_q2_moe,howner_q3,howner_q3_moe,howner_q4,howner_q4_moe,year
Montana,69.8,3.5,69.3,3.5,70,3.5,72,3.3,2008
Nebraska,68.4,2.8,70.2,2.8,70.8,2.8,68.9,2.8,2008
Nevada,65.1,3,64.1,3,62.5,3,62.6,2.9,2008
New Hampshire,75.2,2.3,74.1,2.3,74.8,2.3,75.8,2.3,2008
New Jersey,67.8,2.5,68.2,2.5,66.7,2.5,66.6,2.6,2008
New Mexico,69.9,3.6,68.6,3.6,71.4,3.5,71.8,3.5,2008
New York,55.1,1.8,55.3,1.8,54.9,1.8,54.5,1.8,2008
North Carolina,69.4,2.5,67.8,2.5,70.7,2.5,69.7,2.4,2008
North Dakota,70,3.3,66.5,3.3,64.3,3.3,65.8,3.3,2008
Ohio,72,2,69.6,2.1,70,2,71.5,2,2008
Oklahoma,68.8,3.3,68.1,3.3,72.7,3.1,71.9,3.1,2008
Oregon,64,3.1,67.2,3.1,66.4,3.1,67.2,3,2008
Pennsylvania,73.1,2,73.7,2,72.5,2,71.1,2,2008
Rhode Island,64,2.8,65.2,2.8,64.7,2.8,64.2,2.8,2008
South Carolina,74.5,3,74.9,3,73.6,3,72.8,3,2008
South Dakota,70.7,2.8,70.4,2.8,70.2,2.8,70.3,2.8,2008
Tennessee,70.1,3,71.6,2.8,71.8,2.8,73.3,2.8,2008
Texas,65,1.6,66.7,1.6,65.9,1.6,64.3,1.6,2008
Utah,75.6,3.1,77.6,3,76.4,3,75.4,3.1,2008
